DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,year,LapTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,Sector1SessionTime_s,Sector2SessionTime_s,Sector3SessionTime_s,LapStartTime_s,PitInTime_s,PitOutTime_s,LapStartDate_s
43,49.0,3.0,292.0,228.0,272.0,289.0,0,5,10.0,1,14,1,16.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.712000,0 days 00:00:31.435000,0 days 00:00:21.312000,0 days 02:11:03.480000,0 days 02:11:34.915000,0 days 02:11:56.227000,7e-08,17.712,31.435,21.312,7863.48,7894.915,7916.227,7845.755,0.0,0.0,0.0
43,50.0,3.0,291.0,229.0,272.0,289.0,0,5,11.0,1,14,1,16.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.738000,0 days 00:00:31.482000,0 days 00:00:21.391000,0 days 02:12:13.965000,0 days 02:12:45.447000,0 days 02:13:06.838000,7e-08,17.738,31.482,21.391,7933.965,7965.447,7986.838,7916.214,0.0,0.0,0.0
43,51.0,3.0,290.0,223.0,277.0,292.0,0,5,12.0,1,14,1,16.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.659000,0 days 00:00:31.458000,0 days 00:00:21.401000,0 days 02:13:24.497000,0 days 02:13:55.955000,0 days 02:14:17.356000,7e-08,17.659,31.458,21.401,8004.497,8035.955,8057.356,7986.825,0.0,0.0,0.0
43,52.0,3.0,306.0,225.0,277.0,305.0,0,5,13.0,1,14,1,16.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.317000,0 days 00:00:31.829000,0 days 00:00:21.718000,0 days 02:14:34.673000,0 days 02:15:06.502000,0 days 02:15:28.220000,7e-08,17.317,31.829,21.718,8074.673,8106.502,8128.22,8057.343,0.0,0.0,0.0
43,53.0,3.0,313.0,223.0,278.0,273.0,0,5,14.0,1,14,1,16.0,0,2025,0 days 00:00:00.000000072,0 days 00:00:17.385000,0 days 00:00:33.478000,0 days 00:00:21.953000,0 days 02:15:45.605000,0 days 02:16:19.083000,0 days 02:16:41.036000,7.2e-08,17.385,33.478,21.953,8145.605,8179.083,8201.036,8128.207,0.0,0.0,0.0
43,54.0,3.0,310.0,224.0,270.0,302.0,0,5,15.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.455000,0 days 00:00:31.847000,0 days 00:00:21.547000,0 days 02:16:58.491000,0 days 02:17:30.338000,0 days 02:17:51.885000,7e-08,17.455,31.847,21.547,8218.491,8250.338,8271.885,8201.023,0.0,0.0,0.0
43,55.0,3.0,287.0,225.0,271.0,290.0,0,5,16.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.822000,0 days 00:00:31.408000,0 days 00:00:21.450000,0 days 02:18:09.707000,0 days 02:18:41.115000,0 days 02:19:02.565000,7e-08,17.822,31.408,21.45,8289.707,8321.115,8342.565,8271.872,0.0,0.0,0.0
43,56.0,3.0,289.0,220.0,271.0,291.0,0,5,17.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.735000,0 days 00:00:31.352000,0 days 00:00:21.482000,0 days 02:19:20.300000,0 days 02:19:51.652000,0 days 02:20:13.134000,7e-08,17.735,31.352,21.482,8360.3,8391.652,8413.134,8342.552,0.0,0.0,0.0
43,57.0,3.0,290.0,222.0,274.0,291.0,0,5,18.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.746000,0 days 00:00:31.228000,0 days 00:00:21.242000,0 days 02:20:30.880000,0 days 02:21:02.108000,0 days 02:21:23.350000,7e-08,17.746,31.228,21.242,8430.88,8462.108,8483.35,8413.121,0.0,0.0,0.0
43,58.0,3.0,292.0,222.0,273.0,293.0,0,5,19.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.698000,0 days 00:00:31.306000,0 days 00:00:21.324000,0 days 02:21:41.048000,0 days 02:22:12.354000,0 days 02:22:33.678000,7e-08,17.698,31.306,21.324,8501.048,8532.354,8553.678,8483.337,0.0,0.0,0.0
43,59.0,3.0,271.0,224.0,273.0,307.0,0,5,20.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000071,0 days 00:00:18.636000,0 days 00:00:31.809000,0 days 00:00:21.407000,0 days 02:22:52.314000,0 days 02:23:24.123000,0 days 02:23:45.530000,7.1e-08,18.636,31.809,21.407,8572.314,8604.123,8625.53,8553.665,0.0,0.0,0.0
43,60.0,3.0,294.0,228.0,271.0,292.0,0,5,21.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.749000,0 days 00:00:31.357000,0 days 00:00:21.360000,0 days 02:24:03.279000,0 days 02:24:34.636000,0 days 02:24:55.996000,7e-08,17.749,31.357,21.36,8643.279,8674.636,8695.996,8625.517,0.0,0.0,0.0
43,61.0,3.0,0.0,225.0,273.0,292.0,0,5,22.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.689000,0 days 00:00:31.486000,0 days 00:00:21.245000,0 days 02:25:13.685000,0 days 02:25:45.171000,0 days 02:26:06.416000,7e-08,17.689,31.486,21.245,8713.685,8745.171,8766.416,8695.983,0.0,0.0,0.0
43,62.0,3.0,291.0,220.0,273.0,290.0,0,5,23.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.739000,0 days 00:00:31.310000,0 days 00:00:21.444000,0 days 02:26:24.155000,0 days 02:26:55.465000,0 days 02:27:16.909000,7e-08,17.739,31.31,21.444,8784.155,8815.465,8836.909,8766.403,0.0,0.0,0.0
43,63.0,3.0,289.0,228.0,273.0,290.0,0,5,24.0,1,14,1,14.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.768000,0 days 00:00:31.382000,0 days 00:00:21.276000,0 days 02:27:34.677000,0 days 02:28:06.059000,0 days 02:28:27.335000,7e-08,17.768,31.382,21.276,8854.677,8886.059,8907.335,8836.896,0.0,0.0,0.0
